Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 R,2023 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Sinaloa,371316.275,396222.84400000004,393983.56700000004,411251.1,431732.231,452116.58099999995,437071.05600000004,441733.30999999994,452498.76000000007,466781.77699999994,465716.02,465691.046,485181.1930000001,507491.75700000004,518703.28599999996,527714.0609999999,522342.46699999995,484352.671,507429.021,516396.66299999994,517683.535
Sonora,510814.14800000004,533388.5190000001,559241.969,605738.979,614338.181,623269.5419999999,574217.794,595753.065,648753.4850000001,681378.519,709513.5299999999,721989.413,760030.9560000001,792034.337,784601.3969999999,782097.7390000001,783103.494,731237.9680000001,760930.124,790057.5129999999,827423.757
Tabasco,396077.777,410827.40100000007,443012.195,478124.99700000003,490366.571,510292.455,523308.944,548305.605,569065.838,595176.484,597199.6610000001,594889.2440000001,553280.0819999999,532828.9210000001,502350.996,471565.24999999994,445870.99799999996,464760.608,545415.7609999999,637705.2370000001,656392.2150000001
Tamaulipas,582321.1939999999,609099.706,638372.4489999999,657147.376,670947.628,686326.3640000001,630178.7490000001,642628.688,647447.553,676616.0069999999,680107.018,687652.5519999999,712997.104,709959.659,709149.522,732093.584,752813.525,691399.9750000001,725029.605,748690.0329999999,748220.4730000001
Tlaxcala,111662.69799999999,116474.38500000001,111972.309,117236.12100000001,118240.101,119841.564,114299.182,121829.162,125891.35100000002,128974.59799999998,128120.564,130495.95900000002,137053.7,139167.799,143920.437,147752.939,147876.82,135083.245,143213.33000000005,146637.527,148814.34300000002
Veracruz de Ignacio de la Llave,891802.541,931125.8240000001,940665.082,992039.256,1024390.9169999999,1013361.5170000001,996543.788,1029013.319,1047541.9890000002,1084722.594,1074459.351,1074852.021,1082921.8369999998,1059514.085,1032743.7179999999,1029905.4,1053328.0019999999,971252.079,1027896.032,1041960.374,1067881.1050000002
Yucatán,237526.365,246929.63999999996,258320.60000000003,270589.952,276668.9440000001,280991.471,272887.758,283033.049,289260.51399999997,299649.18200000003,302445.46299999993,312685.72099999996,322098.079,336107.72800000006,349598.9770000001,364797.901,365825.755,333528.19999999995,358659.836,369103.475,389194.0360000001
Zacatecas,142477.00400000002,146477.354,150277.013,159901.09799999997,165494.332,172265.574,180057.63999999998,197186.988,197227.21200000003,201298.32,196163.85499999998,211201.49800000002,214605.46600000001,216654.627,220568.03699999998,228388.21300000005,219746.547,210643.065,221592.28099999996,225007.30800000002,228807.13199999998
Variación porcentual anual en valores constantes,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,NA,3.56544086222,2.113247235577,4.805013537019,2.077863883353,0.943331966922,-6.295250655299,4.971334683447,3.444045065322,3.553210641646,0.852101620043,2.503763460764,2.70232338096,1.772493375021,1.871728454483,1.972082115145,-0.392690442942,-8.35403460381,6.048483354349,3.710989022641,3.295390893875
Aguascalientes,NA,3.300457708692,1.779550347976,7.900716497774,9.371903256051,-0.282507935175,-7.558167373464,8.889123984487,4.818949552692,5.313431023619,3.665618849891,10.338774711725,6.058125999833,4.379894645848,2.227270862783,4.354577521831,0.436700859135,-6.750301018619,2.639778256513,-0.203333647175,6.236202114964
Baja California,NA,2.08957909105,2.801428245403,7.796382218268,0.786895794913,-2.832647973056,-12.939825549646,4.140184811834,1.863471519604,3.944706160169,1.009832345781,3.693781113974,4.498056991571,4.227432261041,4.212468757416,1.761950852818,1.721562426815,-6.068922942592,6.742963925378,2.557101225331,3.462938877913
Baja California Sur,NA,7.816174711048,6.308610205885,7.626391380426,8.572327649199,3.299858653794,-5.362584882326,3.126587684635,4.534215013796,1.595878070212,-1.394728156644,1.651332579833,5.730058197044,4.499597922841,4.714903336374,8.100095651006,-3.66017898039,-14.578517182684,12.59338020496,4.124614929771,1.703693228055
Campeche,NA,1.133330981944,-1.225476587602,-2.656664698395,-6.444201940116,-7.699119866755,-9.022619047228,-3.140493983155,-2.542907563758,-2.866691330675,0.18631039932,-0.946916897744,2.08730065047,-5.293578525879,-10.188221341704,-5.216993066058,-4.007879643067,-7.647792498633,-2.179842157132,-3.460777851224,7.540324245382
Coahuila de Zaragoza,NA,1.750312261605,1.75198034496,6.294881410313,2.685648130233,-1.587602475585,-19.725709078216,19.654923821993,6.414465454359,5.552125153251,-0.712715586053,4.446153584763,-0.571642056695,0.447519173942,4.420696204009,2.599126274709,-1.311553941862,-11.515477975119,9.244859715226,1.543624341751,-0.661269523274
Colima,NA,0.883497672323,0.421882652058,6.701184952183,6.271281454007,2.009072594612,-4.840054225447,6.012899140461,6.433578765273,1.439079349968,-1.37947703709,1.018048431213,4.395863594632,-0.229662483415,6.861761606913,2.293359802058,4.747116727582,-8.048287771441,-0.321295047936,0.529542438429,4.076091805566
Chiapas,NA,-3.362952085001,2.042274828293,3.487008635583,1.109572001674,3.84507186987,-1.402233626495,7.082952726334,1.486436032913,2.482089204936,-2.597341723844,3.901744739602,-2.853068556639,1.625819823349,-2.75327060738,-1.70522887541,-1.325146918152,-3.345794059421,4.862428492598,5.900410846093,1.527419013118
Chihuahua,NA,3.233210382499,2.532919066288,7.335266205594,4.520663525745,4.874408379125,-10.105110786522,3.404118535467,2.225474762095,7.467488653418,2.961407710989,2.818122995935,6.729799162973,3.309589065266,2.504044760961,0.239460655961,1.5865619595,-6.708155972251,4.618838130622,7.711282453927,3.177528831749
Ciudad de México,NA,4.205506590766,0.969942968243,4.785903440148,0.262858710833,1.303614952922,-5.48520602999,3.885418367511,3.382377817683,3.118376777755,0.935883871963,1.448413961988,2.678984842095,1.93656873121,2.098635230381,1.323436206909,-0.396731112506,-10.491051882446,6.138718434562,4.420797874957,4.258838406335
